	dominant_topic	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
130	3	0.011219	0.185863	0.007600	0.646128	0.005756	0.005133	0.004632	0.004220	0.003875	0.003582	0.103567	0.003112	0.002921	0.002751	0.002601	0.002465	0.002344	0.002233
131	1	0.067103	0.554274	0.045599	0.039300	0.034532	0.030796	0.027789	0.025318	0.023250	0.021494	0.019985	0.018674	0.017524	0.016508	0.015603	0.014792	0.014061	0.013399
132	12	0.009600	0.007765	0.006516	0.186952	0.004934	0.004400	0.003970	0.003617	0.003322	0.003071	0.002855	0.002668	0.749705	0.002359	0.002229	0.002113	0.002009	0.001914
133	2	0.009647	0.007760	0.935013	0.005615	0.004934	0.004400	0.003970	0.003617	0.003322	0.003071	0.002855	0.002668	0.002504	0.002359	0.002229	0.002113	0.002009	0.001914
134	1	0.013506	0.471401	0.009120	0.007860	0.446274	0.006159	0.005558	0.005064	0.004650	0.004299	0.003997	0.003735	0.003505	0.003302	0.003121	0.002958	0.002812	0.002680
135	0	0.374041	0.006391	0.214082	0.004625	0.004063	0.003624	0.171944	0.002979	0.002736	0.002529	0.002352	0.058011	0.002062	0.001942	0.001836	0.143552	0.001655	0.001577
136	14	0.007896	0.006388	0.005365	0.004624	0.004063	0.003624	0.003270	0.002979	0.002736	0.002529	0.002351	0.002197	0.002062	0.001942	0.490269	0.454474	0.001654	0.001577
137	16	0.061560	0.005173	0.004343	0.003743	0.003289	0.002933	0.002647	0.002411	0.002214	0.002047	0.001903	0.001779	0.001669	0.001572	0.001486	0.001409	0.898546	0.001276
138	6	0.011223	0.009055	0.200872	0.006550	0.005756	0.005133	0.511657	0.004220	0.003875	0.003582	0.003331	0.003112	0.219239	0.002751	0.002601	0.002465	0.002344	0.002233
139	3	0.033735	0.027164	0.022800	0.485601	0.017266	0.015398	0.013895	0.012659	0.295462	0.010747	0.009993	0.009337	0.008762	0.008254	0.007801	0.007396	0.007031	0.006700
140	10	0.013440	0.010862	0.009120	0.232991	0.129913	0.006160	0.005559	0.005064	0.266562	0.004299	0.293914	0.003735	0.003505	0.003302	0.003121	0.002959	0.002813	0.002680
141	12	0.022365	0.018098	0.015199	0.013100	0.011511	0.010265	0.009263	0.008439	0.007750	0.007165	0.006662	0.006225	0.839172	0.005503	0.005201	0.004931	0.004687	0.004466
142	16	0.067114	0.054293	0.045598	0.039300	0.034532	0.030796	0.027789	0.025318	0.023250	0.021494	0.019985	0.018674	0.017524	0.016508	0.015603	0.014792	0.514032	0.013399
143	3	0.012201	0.009873	0.008292	0.381038	0.321971	0.005600	0.005053	0.004604	0.004228	0.003909	0.003634	0.003396	0.003187	0.003002	0.002837	0.222180	0.002557	0.002437
144	2	0.033547	0.027148	0.486149	0.019651	0.017267	0.015399	0.013895	0.012659	0.011625	0.010747	0.009993	0.009337	0.008762	0.008254	0.007802	0.294033	0.007031	0.006700
145	4	0.012225	0.009877	0.271256	0.007146	0.340255	0.005599	0.005053	0.004603	0.004227	0.003908	0.003634	0.003395	0.003186	0.003001	0.002837	0.002690	0.314670	0.002436
